game	agent	query	day	bid	squashed.bid	budget	imps	clicks	convs	avg.pos	cost
./game1.slg	McCon	(Query (lioneer,audio))	1	0.6000000000000001	0.30932062082869716	36.00000000000001	0	0	0	NaN	0.0
./game1.slg	Nanda_AA	(Query (null,dvd))	1	1.5866666666666664	0.5929350463233866	50.0	161	48	7	1.0	49.294227319851785
./game1.slg	Mertacor	(Query (null,dvd))	1	0.5934252302455678	0.24044127181133024	NaN	0	0	0	NaN	0.0
./game1.slg	TacTex	(Query (null,dvd))	1	0.5925	0.2060406504415782	59.25	0	0	0	NaN	0.0
./game1.slg	Schlemazl	(Query (null,dvd))	1	0.6419889626971468	0.24859090189110916	1.7976931348623157E308	0	0	0	NaN	0.0
./game1.slg	tau	(Query (null,dvd))	1	NaN	NaN	NaN	0	0	0	NaN	0.0
./game1.slg	crocodileagent	(Query (null,dvd))	1	0.65	0.22826176377507296	80.0	0	0	0	NaN	0.0
./game1.slg	MetroClick	(Query (null,dvd))	1	0.6516666666666667	0.2774409436778989	141.48168064942178	0	0	0	NaN	0.0
./game1.slg	McCon	(Query (null,dvd))	1	0.6000000000000001	0.24761908889812606	14.400000000000002	0	0	0	NaN	0.0
./game1.slg	Nanda_AA	(Query (lioneer,dvd))	1	2.0999999999999996	1.0292334877855387	100.0	279	81	8	1.3369175627240144	98.55964848532574
./game1.slg	Mertacor	(Query (lioneer,dvd))	1	0.7286303283276314	0.38286113209654393	NaN	0	0	0	NaN	0.0
./game1.slg	TacTex	(Query (lioneer,dvd))	1	0.71	0.321715121515385	71.0	0	0	0	NaN	0.0
./game1.slg	Schlemazl	(Query (lioneer,dvd))	1	1.1470258421311068	0.5343413314872895	1.7976931348623157E308	0	0	0	NaN	0.0
./game1.slg	tau	(Query (lioneer,dvd))	1	4.761487327945122	2.393736332287902	100.0	94	47	9	1.0	96.22282151287264
./game1.slg	crocodileagent	(Query (lioneer,dvd))	1	1.15	0.5425910956319663	60.0	0	0	0	NaN	0.0
./game1.slg	MetroClick	(Query (lioneer,dvd))	1	0.8999999999999999	0.402451949875839	205.28303729500516	0	0	0	NaN	0.0
./game1.slg	McCon	(Query (lioneer,dvd))	1	0.6000000000000001	0.2610845219078358	14.400000000000002	0	0	0	NaN	0.0
./game1.slg	Nanda_AA	(Query (pg,null))	1	1.5999999999999999	0.5887443303393597	50.0	131	39	9	1.0	49.30175250892271
./game1.slg	Mertacor	(Query (pg,null))	1	0.46732236881838446	0.17851912560540015	NaN	0	0	0	NaN	0.0
./game1.slg	TacTex	(Query (pg,null))	1	1.0875	0.3756017436501422	108.74999999999999	0	0	0	NaN	0.0
./game1.slg	Schlemazl	(Query (pg,null))	1	0.9078477315475673	0.38963966169539854	1.7976931348623157E308	934	264	54	1.6241970021413277	236.06414626388744
./game1.slg	tau	(Query (pg,null))	1	NaN	NaN	NaN	0	0	0	NaN	0.0
./game1.slg	crocodileagent	(Query (pg,null))	1	1.15	0.46516229592023295	140.0	452	145	36	1.2898230088495575	139.6768701108342
