"Day","Description","ManuPreference","CompPreference","AvgUserCount","UserCountStdDev"
"6","F1","lioneer","audio","391.0375","239.0246"
"6","F1","lioneer","dvd","351.0750","186.5872"
"6","F1","lioneer","tv","407.5750","241.9524"
"6","F1","pg","audio","365.8000","212.1210"
"6","F1","pg","dvd","381.2500","244.0281"
"6","F1","pg","tv","360.9375","197.6375"
"6","F2","flat","audio","299.0375","175.9184"
"6","F2","flat","dvd","260.1250","176.1811"
"6","F2","flat","tv","253.6125","172.6869"
"6","F2","lioneer","audio","280.1250","170.5261"
"6","F2","lioneer","dvd","267.7000","160.6987"
"6","F2","lioneer","tv","279.8500","162.2544"
"6","F2","pg","audio","259.1250","160.9785"
"6","F2","pg","dvd","290.3375","179.3822"
"6","F2","pg","tv","251.5875","130.9139"
"6","Informational Search","flat","audio","304.6375","496.1000"
"6","Informational Search","flat","dvd","327.3625","544.6358"
"6","Informational Search","flat","tv","218.1375","366.9460"
"6","Informational Search","lioneer","audio","304.0875","499.8661"
"6","Informational Search","lioneer","dvd","321.3125","497.1177"
"6","Informational Search","lioneer","tv","340.2875","539.6968"
"6","Informational Search","pg","audio","324.0625","527.4034"
"6","Informational Search","pg","dvd","259.8125","451.0697"
"6","Informational Search","pg","tv","156.9000","198.6746"
"6","Non-Searching","flat","audio","8337.8500","964.9851"
"6","Non-Searching","flat","dvd","8466.8875","952.2785"
"6","Non-Searching","flat","tv","8535.6375","834.8266"
"6","Non-Searching","lioneer","audio","8370.8000","933.1104"
"6","Non-Searching","lioneer","dvd","8444.4375","955.9078"
"6","Non-Searching","lioneer","tv","8306.0625","1047.8376"
"6","Non-Searching","pg","audio","8434.8500","850.8385"
"6","Non-Searching","pg","dvd","8493.2750","886.8368"
"6","Non-Searching","pg","tv","8618.6500","783.4479"
"6","Transacted","flat","audio","99.2875","48.5451"
"6","Transacted","flat","dvd","89.1875","47.5742"
"6","Transacted","flat","tv","95.3000","58.2122"
"6","Transacted","lioneer","audio","96.6125","58.5411"
"6","Transacted","lioneer","dvd","96.0000","55.0495"
"6","Transacted","lioneer","tv","97.4250","54.9254"
"6","Transacted","pg","audio","89.5125","49.1907"
"6","Transacted","pg","dvd","94.1125","59.3841"
"6","Transacted","pg","tv","90.4250","49.3003"
"7","F0","flat","audio","542.1375","399.2272"
"7","F0","flat","dvd","515.7750","408.7652"
"7","F0","flat","tv","482.9250","347.7693"
"7","F0","lioneer","audio","548.2375","402.1998"
"7","F0","lioneer","dvd","533.6625","444.9583"
"7","F0","lioneer","tv","583.7000","473.7538"
"7","F0","pg","audio","540.2375","379.5453"
"7","F0","pg","dvd","473.2875","354.6822"
"7","F0","pg","tv","443.2375","338.7621"
"7","F1","flat","audio","404.9750","238.7668"
"7","F1","flat","dvd","361.4875","229.6075"
"7","F1","flat","tv","363.7750","216.1675"
"7","F1","lioneer","audio","393.2875","229.1320"
"7","F1","lioneer","dvd","361.9375","197.4161"
"7","F1","lioneer","tv","407.9875","244.5206"
"7","F1","pg","audio","369.2625","203.1093"
"7","F1","pg","dvd","369.0000","223.2904"
"7","F1","pg","tv","352.9250","202.1496"
"7","F2","flat","audio","309.5875","178.0406"
"7","F2","flat","dvd","271.0500","174.3866"
"7","F2","flat","tv","265.6125","170.8032"
"7","F2","lioneer","audio","292.1500","170.5474"
"7","F2","lioneer","dvd","277.4500","155.3107"
"7","F2","lioneer","tv","292.6750","165.0875"
"7","F2","pg","audio","275.2625","152.6040"
"7","F2","pg","dvd","297.1375","176.1669"
"7","F2","pg","tv","258.3125","131.9167"
"7","Informational Search","flat","audio","291.4625","471.2016"
"7","Informational Search","flat","dvd","302.1875","478.5454"
"7","Informational Search","flat","tv","271.1750","485.0851"
"7","Informational Search","lioneer","audio","240.0875","406.2815"
"7","Informational Search","lioneer","dvd","258.2250","423.9884"
"7","Informational Search","lioneer","tv","306.4375","489.1194"
"7","Informational Search","pg","audio","318.7750","497.9631"
"7","Informational Search","pg","dvd","341.4375","546.9402"
"7","Informational Search","pg","tv","297.9125","519.5018"
"7","Non-Searching","flat","audio","8309.4000","991.7816"
"7","Non-Searching","flat","dvd","8416.7500","978.0240"
"7","Non-Searching","flat","tv","8497.9125","834.6311"
"7","Non-Searching","lioneer","audio","8395.2000","895.9316"
"7","Non-Searching","lioneer","dvd","8441.2625","964.2518"
"7","Non-Searching","lioneer","tv","8269.2625","1021.6531"
"7","Non-Searching","pg","audio","8367.9125","916.5838"
"7","Non-Searching","pg","dvd","8392.1000","892.3200"
"7","Non-Searching","pg","tv","8536.3000","819.7970"
"7","Transacted","flat","audio","142.4375","79.2777"
"7","Transacted","flat","dvd","132.7500","76.5133"
"7","Transacted","flat","tv","118.6000","63.7467"
"7","Transacted","lioneer","audio","131.0375","69.5235"
"7","Transacted","lioneer","dvd","127.4625","80.1339"
"7","Transacted","lioneer","tv","139.9375","77.2932"
"7","Transacted","pg","audio","128.5500","68.1151"
"7","Transacted","pg","dvd","127.0375","76.8459"
"7","Transacted","pg","tv","111.3125","53.3030"
"8","F0","flat","audio","531.1625","409.0976"
"8","F0","flat","dvd","519.1375","411.0573"
"8","F0","flat","tv","478.6750","360.5434"
"8","F0","lioneer","audio","506.9250","372.0623"
"8","F0","lioneer","dvd","508.5875","420.6010"
"8","F0","lioneer","tv","566.3375","427.3487"
"8","F0","pg","audio","545.9750","405.5293"
"8","F0","pg","dvd","510.7250","377.2464"
"8","F0","pg","tv","467.1375","363.1307"
"8","F1","flat","audio","394.6625","234.8587"
"8","F1","flat","dvd","360.7500","224.4971"
"8","F1","flat","tv","356.5250","200.0685"
"8","F1","lioneer","audio","386.3625","222.9424"
"8","F1","lioneer","dvd","363.8375","216.2328"
"8","F1","lioneer","tv","408.9000","249.1636"
"8","F1","pg","audio","374.1250","204.8897"
"8","F1","pg","dvd","363.7125","206.2214"
"8","F1","pg","tv","341.8750","194.9051"
"8","F2","flat","audio","312.9500","178.5541"
"8","F2","flat","dvd","275.1625","170.9276"
"8","F2","flat","tv","270.5500","162.2263"
"8","F2","lioneer","audio","298.5500","171.2083"
"8","F2","lioneer","dvd","281.0000","153.5992"
"8","F2","lioneer","tv","300.9125","168.5290"
"8","F2","pg","audio","282.9250","148.1959"
"8","F2","pg","dvd","301.4125","164.8990"
"8","F2","pg","tv","263.6625","130.1528"
"8","Informational Search","flat","audio","272.0750","459.4815"
"8","Informational Search","flat","dvd","386.9375","600.6145"
"8","Informational Search","flat","tv","297.9625","489.5346"
"8","Informational Search","lioneer","audio","283.2625","492.9851"
"8","Informational Search","lioneer","dvd","290.6250","488.0065"
"8","Informational Search","lioneer","tv","239.7125","399.4312"
"8","Informational Search","pg","audio","292.7500","466.0025"
"8","Informational Search","pg","dvd","276.5625","419.1235"
"8","Informational Search","pg","tv","203.0250","329.6555"
"8","Non-Searching","flat","audio","8331.2000","965.2135"
"8","Non-Searching","flat","dvd","8309.5625","961.5199"
"8","Non-Searching","flat","tv","8457.0750","854.8335"
"8","Non-Searching","lioneer","audio","8383.9625","921.5086"
"8","Non-Searching","lioneer","dvd","8418.6250","945.7331"
"8","Non-Searching","lioneer","tv","8332.5375","917.8283"
"8","Non-Searching","pg","audio","8358.0250","958.9758"
"8","Non-Searching","pg","dvd","8399.8500","937.9600"
"8","Non-Searching","pg","tv","8587.7625","762.1658"
"8","Transacted","flat","audio","157.9500","84.4581"
"8","Transacted","flat","dvd","148.4500","83.2239"
"8","Transacted","flat","tv","139.2125","72.2265"
"8","Transacted","lioneer","audio","140.9375","75.1660"
"8","Transacted","lioneer","dvd","137.3250","80.6836"
"8","Transacted","lioneer","tv","151.6000","80.1166"
"8","Transacted","pg","audio","146.2000","76.7988"
"8","Transacted","pg","dvd","147.7375","84.0873"
"8","Transacted","pg","tv","136.5375","69.7730"
"9","F0","flat","audio","509.7500","395.0964"
"9","F0","flat","dvd","568.1250","438.1638"
"9","F0","flat","tv","490.8250","381.1825"
"9","F0","lioneer","audio","501.4625","398.6187"
"9","F0","lioneer","dvd","509.0375","395.1639"
"9","F0","lioneer","tv","516.6750","363.6316"
"9","F0","pg","audio","535.2125","411.3970"
"9","F0","pg","dvd","498.2875","377.7778"
"9","F0","pg","tv","432.1250","331.2417"
"9","F1","flat","audio","385.1375","231.1932"
"9","F1","flat","dvd","368.6125","218.4617"
"9","F1","flat","tv","352.7625","193.6548"
"9","F1","lioneer","audio","376.8125","212.4591"
"9","F1","lioneer","dvd","362.2500","218.5283"
"9","F1","lioneer","tv","399.5125","238.1317"
"9","F1","pg","audio","378.7000","218.5421"
"9","F1","pg","dvd","363.1000","205.6450"
"9","F1","pg","tv","331.9375","191.3064"
"9","F2","flat","audio","316.5500","181.9686"
"9","F2","flat","dvd","283.9875","162.7398"
"9","F2","flat","tv","275.1000","155.4114"
"9","F2","lioneer","audio","306.2750","174.3600"
"9","F2","lioneer","dvd","287.6000","154.9581"
"9","F2","lioneer","tv","305.8125","172.1831"
"9","F2","pg","audio","290.6750","149.6029"
"9","F2","pg","dvd","303.1500","163.9566"
"9","F2","pg","tv","263.4125","128.7963"
"9","Informational Search","flat","audio","207.8375","334.5850"
"9","Informational Search","flat","dvd","268.4750","402.4878"
"9","Informational Search","flat","tv","360.8750","559.8100"
"9","Informational Search","lioneer","audio","338.7250","550.0111"
"9","Informational Search","lioneer","dvd","281.6500","469.1254"
"9","Informational Search","lioneer","tv","406.3250","611.8602"
"9","Informational Search","pg","audio","282.4500","469.8582"
"9","Informational Search","pg","dvd","372.0875","578.1893"
"9","Informational Search","pg","tv","260.0375","445.8679"
"9","Non-Searching","flat","audio","8427.8875","910.3867"
"9","Non-Searching","flat","dvd","8356.1000","962.5299"
"9","Non-Searching","flat","tv","8377.0250","936.6837"
"9","Non-Searching","lioneer","audio","8333.4250","921.7866"
"9","Non-Searching","lioneer","dvd","8418.1750","878.5298"
"9","Non-Searching","lioneer","tv","8222.2125","937.1825"
"9","Non-Searching","pg","audio","8367.4750","907.5657"
"9","Non-Searching","pg","dvd","8317.5625","980.0290"
"9","Non-Searching","pg","tv","8582.7750","820.1518"
"9","Transacted","flat","audio","152.8375","79.1046"
"9","Transacted","flat","dvd","154.7000","77.8278"
"9","Transacted","flat","tv","143.4125","76.9465"
"9","Transacted","lioneer","audio","143.3000","75.0034"
"9","Transacted","lioneer","dvd","141.2875","79.0408"
"9","Transacted","lioneer","tv","149.4625","73.6363"
"9","Transacted","pg","audio","145.4875","75.6586"
"9","Transacted","pg","dvd","145.8125","90.3135"
"9","Transacted","pg","tv","129.7125","56.3722"
